customer_id,name,age,gender,occupation,annual_income,marital_status,credit_score,existing_products,financial_goals
8209b29a-e642-48f0-a470-cd9a198c05d5,John Knight,32,Female,Occupational hygienist,191821.83,Single,462,"Savings Account, Home Loan, Fixed Deposit",Education
297d0e76-087d-482d-8c74-9ca3931e7b3a,Charles Smith,38,Female,Armed forces technical officer,36380.06,Single,333,"Education Loan, Home Loan",Savings
bc8e6000-3179-4014-93f1-5f65281ddfb6,Aaron Sutton,21,Male,Race relations officer,169175.71,Married,573,,Retirement
54757e73-2043-417e-9836-c35a570e1c0a,Eric Munoz,55,Male,Toxicologist,100031.89,Married,576,,Savings
fa8bbf04-ad4b-478a-a210-384352e0f935,Jade Myers,22,Female,Catering manager,172237.14,Married,540,"Credit Card, Home Loan",Home Ownership
2cdf4b81-d0f6-4c41-aa71-a8284e7816a7,Christine Poole,45,Female,Media buyer,170793.95,Divorced,820,"Fixed Deposit, Savings Account",Savings
f2bf13a4-5054-4dd2-9d21-61cf42e63831,Shannon Daniel,37,Male,Food technologist,94000.07,Married,486,"Home Loan, Credit Card",Savings
06d7b6a3-79c1-496f-ae6e-26559555227a,Bonnie Wells,55,Female,Psychiatrist,192604.76,Single,614,"Education Loan, Fixed Deposit, Savings Account",Retirement
f4dfbd93-1c3d-42eb-b529-a96fbf878f81,Jonathan Brown,37,Female,"Teacher, adult education",132573.77,Divorced,491,"Credit Card, Fixed Deposit, Education Loan",Education
4d5305c2-a6b4-4603-98c8-69398c8bf06f,Donna Reed,33,Female,Lexicographer,34546.18,Divorced,374,,Savings
58d4d92d-7453-4217-931c-bc8753753435,April Owen,24,Female,Special educational needs teacher,75354.88,Single,733,Education Loan,Home Ownership
2f6f7f1b-5048-4279-b7ba-2add4f7b55ef,Dustin Hernandez,24,Female,"Engineer, automotive",49710.42,Divorced,550,Savings Account,Retirement
308e6a1d-58c3-45c8-bff1-a37a3e874701,Rachel Robinson,38,Female,Theme park manager,28767.74,Single,425,Home Loan,Retirement
aa6db679-50f1-4c31-9f75-122841f7fa29,Crystal Kennedy,50,Female,Public affairs consultant,141253.21,Single,703,Education Loan,Savings
51a12a7c-e9ab-4208-aba2-60dd88b51267,Elizabeth Perez,40,Female,Barrister's clerk,103516.3,Divorced,736,Home Loan,Retirement
7bce4501-fe33-409a-9374-ef20765e7f01,Christopher Romero,27,Male,Health service manager,17845.19,Divorced,484,Home Loan,Home Ownership
02e38627-a40f-456c-9954-f47cb248a0c3,Bonnie Mills,69,Male,Psychiatric nurse,162111.87,Single,307,"Fixed Deposit, Education Loan",Education
c146d26f-bc50-425b-8cf3-03f3453f64dc,Ann Thomas,36,Female,Adult nurse,194969.28,Single,735,,Education
7a1816fe-7f56-4515-b61d-87e2466713e2,Michael Weaver,44,Male,Planning and development surveyor,41752.77,Married,625,,Education
802e2e75-b71b-4c50-9e3f-acf6da24621b,James Gomez,34,Female,Pensions consultant,100091.59,Divorced,501,"Education Loan, Credit Card",Travel
9e72d1f1-6c6a-4cfa-b480-023a4613cbde,Beth Becker,45,Female,"Teacher, special educational needs",90400.8,Single,464,"Education Loan, Fixed Deposit",Savings
e7c1498d-12fd-4049-8152-07c3fb59732e,Jason Ryan,21,Female,"Engineer, electronics",34860.84,Divorced,529,,Travel
cbb88bcf-8756-4f1b-a5ec-83183541cab1,Darryl Bradford,39,Female,Equality and diversity officer,74264.44,Divorced,482,"Fixed Deposit, Savings Account, Home Loan",Savings
0fe5e1e2-381a-4cd5-8de4-3bc529811bea,Lori Hernandez,68,Female,"Solicitor, Scotland",171970.28,Married,345,"Credit Card, Education Loan, Fixed Deposit",Home Ownership
10c589c6-58b5-43e0-98ff-24f4588dff7a,Samuel Knight,48,Male,Dispensing optician,58608.82,Divorced,416,"Savings Account, Home Loan, Credit Card",Travel
6b338a43-3ac4-4f96-a469-084b5eedd0cd,Margaret Taylor,56,Male,Ergonomist,101562.07,Single,307,"Savings Account, Home Loan",Home Ownership
c11dfe3c-eaa9-4718-901e-35e55d96c3f0,Sheila Hampton,66,Female,Dramatherapist,58808.04,Divorced,769,"Credit Card, Fixed Deposit",Retirement
d46a272f-99f5-4ef3-8ef0-c089869d6bbc,Michael Nichols,48,Female,Special educational needs teacher,28540.31,Single,552,Education Loan,Savings
d727365c-af63-4c5c-b36d-d7710d00ff1d,Rhonda Morgan,23,Male,"Journalist, newspaper",75284.79,Divorced,752,"Education Loan, Fixed Deposit",Retirement
26a3506b-dcea-4769-a9a9-ec00ccf9c169,Emma Sanchez,44,Male,Counselling psychologist,40205.5,Single,814,,Travel
8f4c254e-7f18-49b1-992c-2c5471b44da9,Veronica Shelton,51,Male,Secretary/administrator,175965.85,Single,490,Home Loan,Retirement
7ce738e6-fba4-41b7-b209-27905b103ff1,Michelle Chen,38,Female,Chartered loss adjuster,181597.98,Single,612,"Education Loan, Credit Card, Fixed Deposit",Home Ownership
353a6074-8290-4a0e-a71a-e0d7933fa522,Jessica Buckley,52,Female,Customer service manager,22785.39,Single,638,"Savings Account, Credit Card, Education Loan",Home Ownership
f79ff5fa-fed1-4b5f-8919-9e6d68367bc5,Matthew Cannon,51,Male,"Engineer, manufacturing systems",47169.53,Single,418,Savings Account,Savings
a0734bd4-af43-409b-b716-3a95523d0a2c,Stephanie Meyer,60,Female,Airline pilot,149551.63,Single,624,Savings Account,Home Ownership
449498f4-aef1-49c6-abc3-933a2e3398c5,Andrew Hernandez,43,Female,"Engineer, manufacturing systems",163903.38,Divorced,443,Education Loan,Education
c4c5378b-e36a-4fdc-b494-74b7c20542ea,Tracy Byrd,60,Female,Production engineer,21585.5,Married,496,Credit Card,Savings
1cd6d4d8-e4bd-4c58-b435-8ab784fc9db3,Bobby Nielsen,54,Male,Copy,137221.49,Married,403,Fixed Deposit,Home Ownership
1ebb8ba2-0fb4-41a7-8a96-e13fb8e3c37f,Spencer Crawford,28,Female,Barista,54300.3,Single,556,Savings Account,Travel
b1a67799-43c8-4758-b7c7-36f0cb4179aa,Margaret Thompson,38,Male,"Engineer, agricultural",196469.8,Divorced,747,Fixed Deposit,Savings
